"GPT-016","staff was friendly welcoming","Class A, Class B"
"GPT-017","restaurant had a beautiful outdoor seating area","Class B, Class C"
"GPT-018","i was pleasantly surprised by wide selection of tea","Category A-Aspect 2-Positive, Category A-Aspect 3-Positive, Category A-Aspect 2-Neutral"
"GPT-019","food was cooked perfection","Category B-Aspect X-Positive, Category B-Aspect Y-Neutral"
"GPT-020","staff was knowledgeable about menu made great recommendation","Category A-Aspect 3-Positive","[recommendation-46-59,menu-30-33]"
"GPT-021","restaurant had a lively energetic atmosphere","Category A-Aspect 3-Negative, Category A-Aspect 3-Very Negative","[NULL-NULL-NULL], [atmosphere-34-43,restaur-0-6]"
"GPT-022","service was prompt attentive","Category A-Aspect 1-Positive","[was prompt attentive-8-27,service-0-6]"
"GPT-023","drink were strong delicious","Category A-Aspect 1-Positive, Category B-Aspect X-Positive, Category C-Aspect III-Very Positive","[delicious-18-26,drink-0-4], [NULL-NULL-NULL], [delicious-18-26]"
"GPT-024","staff was friendly accommodating","Class A-Positive, Class C-Neutral, Class C-Very Negative","[accommodating-19-31,endly -13-18], [was-6-8], [NULL-NULL-NULL]"
"GPT-105","an irresistible promise of a remarkable dining escapade restaurants unwavering commitment culinary craftsmanship is palpable from very first bite Each dish presented is a testament their dedication quality embracing locally sourced ingredients that sing with freshness authenticity","Class A, Class B"
"GPT-002","As culinary journey reaches its conclusion Decadent Chocolate Fondant takes center stage delivering a grand finale of indulgence molten chocolate core exudes sheer decadence a fitting end a meal that elevates dining an art form Gastronomical Delights isnt just a restaurant its an embodiment of culinary passion artistry an oasis where flavors dance memories are savored For those seeking an unparalleled dining adventure this establishment is a mustvisit destined leave an indelible impression on even most discerning palates","Class B, Class C"
"GPT-105","an irresistible promise of a remarkable dining escapade restaurants unwavering commitment culinary craftsmanship is palpable from very first bite Each dish presented is a testament their dedication quality embracing locally sourced ingredients that sing with freshness authenticity","Class A","[ promise of a remarkable dining-15-45,palpable from very-116-133]"
"GPT-002","As culinary journey reaches its conclusion Decadent Chocolate Fondant takes center stage delivering a grand finale of indulgence molten chocolate core exudes sheer decadence a fitting end a meal that elevates dining an art form Gastronomical Delights isnt just a restaurant its an embodiment of culinary passion artistry an oasis where flavors dance memories are savored For those seeking an unparalleled dining adventure this establishment is a mustvisit destined leave an indelible impression on even most discerning palates","Class B","[NULL-NULL-NULL]"
"GPT-003","i highly recommend trying signature cocktail food was delicious beautifully presentedthe restaurant offered a wide selection of juice restaurant offered a wide selection of juice","Category A-Aspect 1-Positive, Category B-Aspect Z-Neutral, Category C-Aspect I-Negative","[cocktail food-36-48,presentedthe restaurant offered a wide -76-114,signature cocktail food-26-48], [offered-100-106], [NULL-NULL-NULL]"
